,TMC,partition
0,OFIKIX,train
1,VAMYIT,train
2,WAYKEM,train
3,IYINUZ,train
4,AGOSAT,train
5,ACDIPT,train
6,XUVPAF,train
7,PARKOK,train
8,IYUDIQ,train
9,LALYIH,train
10,AQOYEM,train
11,MOCKUK,train
12,PUFQEM,train
13,ZEWXUU,train
14,CIGKOU,train
15,WEXCOU,train
16,HISJAU,train
17,ETALOA,train
18,OGIHAN,train
19,AMIVUQ,train
20,LUDRIN,train
21,TECWEE,train
22,HIGBOP,train
23,KABNAG,train
24,CEQPUN,train
25,AQITEA,train
26,POSZEC,train
27,VILQAL,train
28,ROBBOA,train
29,LALNER,train
30,WOMVUQ,train
31,ZABNEZ,train
32,QUGQOY,train
33,MIBBIK,train
34,YUDBUU,train
35,ACUXAX,train
36,LIDXEB,train
37,BOQJEY,train
38,ABEKIF,train
39,GIKJOB,train
40,WUGREX,train
41,TOWNUR,train
42,HUNZUN,train
43,IYININ,train
44,SOYYUA,train
45,LUFMEG,train
46,BUJDUF,train
47,IDEYAU,train
48,VIKZIZ,train
49,BPYCPT,train
50,EABHCP,train
51,QUBXOC,train
52,EXOLUZ,train
53,BADBAL,train
54,RINLAE,train
55,HIFMAL,train
56,QUWBEQ,train
57,LUZPEE,train
58,CENQAN,train
59,OMARUP,train
60,NEFXAY,train
61,BADYEM,train
62,MARPEC,train
63,DICTOY,train
64,TIFXAI,train
65,UYOROR,train
66,VITYON,train
67,IQUHAD,train
68,VAYLIQ,train
69,JAJCON,train
70,KIPVAG,train
71,XIQXIF,train
72,OFULEH,train
73,QEKKEX,train
74,KEJJIS,train
75,PIKZAL,train
76,WUPLUR,train
77,CONFER,train
78,RUKJOZ,train
79,DUDLIX,train
80,GUFKID,train
81,XEDGIX,train
82,XESPOB,train
83,WABWUT,train
84,DUFQIG,train
85,LUTSOL,train
86,RONYOK,train
87,WUFFIM,train
88,TEVKEO,train
89,PEQZES,train
90,TITGAG,train
91,YANTUD,train
92,RETFAZ,train
93,FIBDOK,train
94,KIHYOP,train
95,MEHZIJ,train
96,RAXFIH,train
97,PAXDEA,train
98,HINCIQ,train
99,HETTUW,train
100,QAKXOS,train
101,TODMAC,train
102,ISNBZP,train
103,AKIMAL,train
104,PUFQIQ,train
105,OCEZOO,train
106,WENJII,train
107,RIVGEK,train
108,FOQPOQ,train
109,HIGBIJ,train
110,WECPIE,train
111,FEKDUV,train
112,BADYIQ,train
113,HUPGAB,train
114,GELNES,train
115,KEMJES,train
116,YUHPOG,train
117,TEYCIJ,train
118,UZAVAU,train
119,EHISUL,train
120,PACXAV,train
121,CADZEQ,train
122,SIWWUR,train
123,JIMCAK,train
124,QUWBAM,train
125,JIJSON,train
126,NOLHOM,train
